,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
fbiC,0.8828229612774094,0.7127586300672668,0.8810085964748603,0.8652447764618065,0.8137796218441008,0.3941080069473893,0.7455853370299613,0.13445953250989898,0.6394838898102863,0.8487998363510396,1.0,0.18154682462439042,0.3634463673272455,0.029379457823962764,0.6912955175783605,0.8855435402237979,-0.19272865082341917,0.030876495909487146,0.8820532261984497,-0.3062052369790115,0.8486304025951401,0.16480306343073547,0.8113823652574669,0.7708435692350929,0.8777605237638,0.032379377795186834
fgd1,0.15893284343731084,0.17375020770461858,0.1501396395641711,0.15337292761723303,0.19307028203933307,0.1570972701726032,0.24429377674460262,0.25983306743039103,0.10898492197840014,0.149096509557771,0.18154682462439042,1.0,0.3570143680916454,0.3814175153447326,0.19793834745356959,0.1565890908934586,0.00026937473611844995,0.5264464050043953,0.1451208443585225,-0.28819825584114334,0.1415527120922757,0.6205048821956621,0.26052430349232897,0.12633248324376276,0.14912053979027973,0.35707534840139493
gid,0.3258109346146446,0.29182646075752205,0.33115437373317547,0.288198352546707,0.3215285461291253,0.26199403578106306,0.3863278415721368,0.3081427505171441,0.2296751347146579,0.33502228764433173,0.3634463673272455,0.3570143680916454,0.9999999999999998,0.43218327584460453,0.429317736055882,0.31355596854388046,-0.08684667511632523,0.3705971920504345,0.3133806521676406,-0.2623547224116973,0.28492823639839276,0.43188193871662617,0.35874568328957723,0.28376687198080114,0.3444376440781977,0.2399670116864306
gyrA,-0.0507038151238472,0.027884661341497054,-0.032128907382164784,-0.039124645792054234,0.007016507063527426,0.2074380798577225,0.12360537042833111,0.7254474475343932,-0.015577029185631691,-0.007840140529660608,0.02937945782396276,0.3814175153447326,0.43218327584460453,1.0,0.11490120350232305,-0.05587333300828738,0.03398720859552403,0.7076180425359625,-0.050198396350304125,-0.3436868722876171,-0.03446945856241066,0.6353516538151502,0.0602156770412999,0.10141315019725676,-0.004392820939435804,0.38906800663174723
gyrB,0.6986266249426911,0.6205390236724354,0.7247703568185511,0.7043400074642369,0.6546267116326738,0.4913383059263776,0.6423761045449708,0.18534154092525945,0.549939963261009,0.721590163928648,0.6912955175783605,0.19793834745356959,0.429317736055882,0.11490120350232304,1.0,0.7045414804128309,-0.16704039812061947,0.09687121832530177,0.724408769924755,-0.29098959600107965,0.6797110022212687,0.19631126572492466,0.6565849160268862,0.6657406594901741,0.7069638727208598,0.06857204299586131
inhA,0.93070231789338,0.7684322767315332,0.9399369789937225,0.9149692565126134,0.8743979695681626,0.41808032453062743,0.7350675894234345,0.08816618638485438,0.6891367811011431,0.9187517376515942,0.8855435402237979,0.1565890908934586,0.31355596854388046,-0.055873333008287375,0.7045414804128309,1.0,-0.19912055710469745,-0.022711290281540914,0.9450989117842026,-0.29828195661624834,0.9139009892892062,0.1056174632894196,0.8295616550605889,0.7922913301652823,0.9285024155866524,-0.0005863232628843195
katG,-0.1975274542851568,-0.15277689918908752,-0.19989121710640412,-0.19270407709422194,-0.17100861665465583,-0.13019418449345013,-0.1560956952235173,-0.08433161470623295,-0.17671412182133864,-0.19830151621337175,-0.19272865082341917,0.00026937473611844995,-0.08684667511632523,0.033987208595524024,-0.1670403981206195,-0.19912055710469748,0.9999999999999999,-0.04573095511482791,-0.20146406629957292,-0.788986689109565,-0.18974195643737277,0.024603685266542812,-0.13978001363540116,-0.1889069812773611,-0.19930696979544724,-0.07611988513811555
mmpL5,-0.02523749825138234,-0.004767439069247236,-0.00713840023978354,-0.01846879504422604,0.015348352152992411,0.5119864219654755,0.09342818522576042,0.4451595399656104,0.2846659034079118,-0.0006135725353760472,0.030876495909487146,0.5264464050043953,0.3705971920504345,0.7076180425359625,0.09687121832530178,-0.022711290281540918,-0.04573095511482791,1.0,-0.034639475882122066,-0.2714476813763089,0.011397214002525769,0.6470015964264103,0.06478547925585473,0.08391975193536062,0.01940692383486863,0.8651935615244308
pepQ,0.94855593640327,0.7848714245726557,0.9343069625541881,0.9364985453703915,0.9057911012334336,0.4039723971437777,0.7535439305136338,0.09733423685174745,0.7054485367142705,0.9267198469754387,0.8820532261984496,0.1451208443585225,0.3133806521676406,-0.050198396350304125,0.724408769924755,0.9450989117842026,-0.20146406629957295,-0.034639475882122066,1.0,-0.30146046463837534,0.9193185615430178,0.08911041348467995,0.8463024856083703,0.8061941287966788,0.9434197242989817,-0.011061979628292657
pncA,-0.2992660225337444,-0.29953725103508433,-0.2998359752940245,-0.3020344039076836,-0.31215310007374286,-0.25528779943139246,-0.2988606629013012,-0.27084422224457594,-0.26711825252232896,-0.3030232143917964,-0.3062052369790114,-0.28819825584114334,-0.2623547224116973,-0.3436868722876171,-0.29098959600107965,-0.2982819566162484,-0.788986689109565,-0.27144768137630887,-0.3014604646383753,1.0,-0.2992468853921714,-0.3303129330335352,-0.3439852470685109,-0.2935145616880347,-0.3071140633324616,-0.17215685637637376
