phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.7968646e-20,0.055555556,7.710142e-20,1.3049953e-21,0.055555556,2.6406633e-20,6.506756e-25,2.4472023e-21,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,4.0950776e-19,4.4492e-20
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.9616409e-20,2.3510413e-18,6.3106475e-20,0.055555556,0.055555556,6.7738135e-23,9.280183e-20,0.055555556,1.7314686e-24,0.055555556,1.164169e-19,0.055555556,0.055555556,0.055555556,1.9040837e-18
Susceptible,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,6.6312555e-17,2.4501894e-18,0.05,0.05,0.05,2.7231013e-18,0.05,0.05,0.05,4.615342e-18,0.05,2.5873248e-17,0.05,4.6218634e-17
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,2.2275543e-14,4.497458e-14,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,8.3019605e-15,2.0709232e-13,2.0102562e-14,0.05882353,0.05882353,1.1528384e-16,3.4851706e-14,0.05882353,0.05882353,0.05882353,3.282406e-14,0.05882353,0.05882353,0.05882353,2.2989407e-13
Susceptible,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.0586686e-24,1.3859933e-26,8.619407e-25,0.05,0.05,1.8732863e-26,0.05,0.05,0.05,0.05,0.05,0.05,2.1722412e-23,1.2263083e-24
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,8.796805e-21,0.04761905,0.04761905,0.04761905,2.5101753e-21,0.04761905,0.04761905,0.04761905,9.163255e-22,0.04761905,0.04761905,0.04761905,2.828064e-21,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.0223725e-19
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,5.67095e-14,4.659614e-13,0.04761905,0.04761905,7.634679e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,4.119616e-13,0.04761905,6.425517e-13
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,5.179016e-18,3.18041e-16,1.3594546e-17,0.055555556,0.055555556,4.1649145e-20,2.0233958e-17,0.055555556,1.6778603e-21,0.055555556,2.3629198e-17,0.055555556,0.055555556,0.055555556,2.5721577e-16
Susceptible,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,8.217449e-12,1.13302596e-10,1.4233728e-11,0.05263158,0.05263158,2.2626806e-13,2.120617e-11,0.05263158,0.05263158,0.05263158,2.1665711e-11,0.05263158,0.05263158,0.05263158,1.3427995e-10
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,4.5533356e-12,0.04761905,6.6121752e-12,0.04761905,0.04761905,0.04761905,1.2179409e-11,0.04761905,0.04761905,0.04761905,1.0631238e-11,0.04761905,0.04761905,0.04761905,1.3450203e-10
