,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
fgd1,0.09880917799128519,0.12021364023894773,0.09899589721600936,0.09062277714197818,0.12269214745553371,0.08679658040029664,0.1386221363456353,0.18259277458876566,0.0925196071549971,0.11147899409563003,0.10387209282820198,1.0,0.38603835902188494,0.22951707657803488,0.13234885474649755,0.10547960188720554,-0.06426874254664665,0.3610779023799881,0.07890927737538835,-0.2672981685627992,0.09413153088741905,0.7520414493982719,0.13285153744250477,-0.010170187058844584,0.05785445575346734,0.2535256434312081
gid,0.23001720064242787,0.23016724987404097,0.23254935914955258,0.21932217789327796,0.24092436092587244,0.16934710615256132,0.258194607706685,0.14658131280083717,0.20148172715052182,0.23099903288671633,0.20173016801552518,0.38603835902188494,1.0,0.05153749635588774,0.3204765724163206,0.24294280641393712,-0.15005697369143858,0.06561649094492936,0.21073398415119468,-0.2755659701424878,0.213468414382114,0.4224948172062706,0.2385254005260386,0.07657615788419525,0.25663733462297095,0.03949723375342547
gyrA,-0.24569984714649407,-0.19535588449581118,-0.24278138293182508,-0.23906331086731258,-0.20835750104206446,-0.029574027366621108,-0.16585618623491083,0.5901781740856047,-0.2048380072773351,-0.2126738246731701,-0.18590269302931464,0.22951707657803486,0.051537496355887745,1.0,-0.1308161731757583,-0.2433779349022285,0.1329197776895038,0.6903892555104173,-0.23782223206222086,-0.11165452140112214,-0.23461178799863946,0.2946403985661326,-0.19944705460157533,-0.1327651510136358,-0.21015117141263476,0.4277331091751946
gyrB,0.6119566098580513,0.6125675410794497,0.6316271616477485,0.613403895719097,0.5513829102118201,0.5614649839497486,0.6069945010829063,0.23788564359016376,0.6022486706844346,0.5746454212296186,0.5664188568757239,0.13234885474649757,0.3204765724163206,-0.1308161731757583,1.0,0.6140579468719422,-0.3567212168089394,-0.10125249453236183,0.5938539585995801,-0.4956641789897652,0.6132502757350478,0.13406409358137072,0.5943651477537322,0.5560302639420397,0.6137905559598666,-0.07170302372424156
inhA,0.9265589236792937,0.7868607210562099,0.9517987929859986,0.9091182247513508,0.8256952397353557,0.4235483569638253,0.789692970511932,0.25278079799497744,0.7767933559446791,0.8785663190293087,0.7999202022973665,0.10547960188720554,0.24294280641393712,-0.24337793490222848,0.6140579468719422,1.0,-0.4751138499115328,-0.1822835624286552,0.9063690647381215,-0.6216310957287524,0.9159242671329801,0.1131786039952816,0.8931015760846311,0.6984000293505693,0.854478080201542,-0.12267025681643468
katG,-0.4789449644267254,-0.42383957041208553,-0.48711917302370894,-0.4729460666340082,-0.43366644255668907,-0.2752890109408223,-0.4198431001339791,-0.198219511089911,-0.4372140651992188,-0.4548940802634469,-0.4264732700025991,-0.06426874254664665,-0.15005697369143858,0.1329197776895038,-0.3567212168089394,-0.4751138499115329,1.0,0.028418013102882354,-0.4713585885910389,-0.25095748799278467,-0.4738652163490352,-0.06863602519594299,-0.4521046160477225,-0.38865728799121224,-0.45057423315357203,-0.021070072103631834
mmpL5,-0.1870243269010291,-0.16158072058284442,-0.18606447145289817,-0.18268618619564522,-0.16067737557407724,0.13324619679526065,-0.1267357948855276,0.3103921557928843,-0.023427895873688903,-0.1539973577329092,-0.13307421838865122,0.3610779023799881,0.06561649094492937,0.6903892555104173,-0.10125249453236183,-0.1822835624286552,0.028418013102882354,1.0,-0.17745744858049686,-0.09578571396730663,-0.17066911504208987,0.3273602476349881,-0.14641743718893702,-0.07439340077867071,-0.1528810027758222,0.8649159655903494
pepQ,0.9182478166537452,0.786670499486784,0.9289989660426412,0.9055497961174384,0.8261361588931714,0.4184865705171288,0.7762161815279415,0.2589138433085138,0.7795264499349531,0.8578213762515435,0.7887656497423788,0.07890927737538835,0.21073398415119468,-0.2378222320622209,0.5938539585995802,0.9063690647381215,-0.4713585885910389,-0.17745744858049686,1.0,-0.6134040198191667,0.9004485773411807,0.08882342197516754,0.8856491147046867,0.7065063102642942,0.8517468839211054,-0.11202450740974582
pncA,-0.6259533640582573,-0.5834775030267377,-0.6358371218100975,-0.6200965367857537,-0.5863393561000145,-0.3996141694486074,-0.5731262874242544,-0.3688983868572298,-0.5776340673992506,-0.5983084918032721,-0.5592347504127649,-0.2672981685627992,-0.2755659701424878,-0.11165452140112214,-0.4956641789897653,-0.6216310957287524,-0.2509574879927846,-0.09578571396730662,-0.6134040198191667,0.9999999999999999,-0.6219228840160906,-0.2779739695362091,-0.6289519317011859,-0.5065913065953798,-0.589674406484637,-0.06695616992242107
rplC,0.9248575915148303,0.7805876828318468,0.9321580184971107,0.910629363074867,0.8327187852915363,0.43571117281701593,0.8020221620367065,0.2590102404827469,0.7736802699875369,0.8765434452583911,0.7891285911310353,0.09413153088741903,0.213468414382114,-0.23461178799863946,0.6132502757350478,0.9159242671329801,-0.4738652163490352,-0.17066911504208984,0.9004485773411808,-0.6219228840160905,1.0,0.11759045532687736,0.88650253520636,0.6919369103138338,0.8690191695963924,-0.1115596305291761
rpoB,0.10469094284806782,0.13233094073223836,0.1052060280361878,0.09936776388192944,0.15004809901102628,0.15134712852581467,0.14815616027235873,0.17095751762031888,0.12074944437953405,0.12467812642472993,0.09496191444539095,0.7520414493982719,0.42249481720627063,0.2946403985661326,0.13406409358137072,0.11317860399528161,-0.06863602519594297,0.3273602476349881,0.08882342197516756,-0.2779739695362091,0.11759045532687736,0.9999999999999999,0.13691774211814764,-0.00847646003422231,0.06048384867766922,0.2392176333061241
rpsL,0.9032792234116583,0.7708286237553856,0.9143885718801017,0.896517278297038,0.816751554892164,0.41804502380558434,0.7750959082714265,0.2573891089341153,0.7574557881547377,0.8462693737995317,0.7886108406669753,0.13285153744250477,0.2385254005260386,-0.19944705460157533,0.5943651477537321,0.893101576084631,-0.4521046160477225,-0.14641743718893702,0.8856491147046867,-0.6289519317011859,0.8865025352063601,0.13691774211814764,1.0,0.6844833075529947,0.8337151061001213,-0.10967555585316192
rrl,0.7081493039248554,0.6694434529284419,0.7267138849940641,0.6988902351740383,0.6334263836551486,0.3949463296541261,0.5976301611385426,0.2721335424051983,0.6496538120002813,0.6702529323325537,0.615745897111177,-0.010170187058844584,0.07657615788419526,-0.13276515101363578,0.5560302639420397,0.6984000293505693,-0.38865728799121224,-0.07439340077867071,0.7065063102642942,-0.5065913065953797,0.6919369103138338,-0.00847646003422231,0.6844833075529946,0.9999999999999999,0.6541487980508517,-0.03943481279114846
rrs,0.866015803706587,0.7334118473650015,0.8786256828483197,0.8599906125471319,0.7883395777991121,0.3892216267062758,0.7524954409161851,0.24833226686677545,0.7308982651808962,0.8053732678918388,0.7536923014278039,0.05785445575346734,0.25663733462297095,-0.21015117141263473,0.6137905559598668,0.854478080201542,-0.45057423315357203,-0.15288100277582223,0.8517468839211053,-0.589674406484637,0.8690191695963924,0.06048384867766922,0.8337151061001212,0.6541487980508517,1.0,-0.10449443318803055
tlyA,-0.1266609588440096,-0.11492801124844622,-0.12498501120481059,-0.12646350496655992,-0.1137232569774747,0.19394129372501076,-0.08984367499525346,0.14190144316035946,0.10190394906694925,-0.09725644868671254,-0.08632327348701753,0.2535256434312081,0.03949723375342547,0.4277331091751946,-0.07170302372424156,-0.12267025681643468,-0.021070072103631834,0.8649159655903494,-0.11202450740974582,-0.06695616992242108,-0.11155963052917611,0.23921763330612414,-0.10967555585316194,-0.03943481279114846,-0.10449443318803055,1.0
