gene,mean_attn
Mef(B),0.0015665616
OKP-B family,0.0015665616
OKP-B-2,0.0015665616
OKP-B-7,0.0015665616
OXY-1-4,0.0015665616
QnrB4,0.0015665616
SHV-16,0.0015665616
SHV-168,0.0015665616
SHV-187,0.0015665616
blaNDM-1_2,0.0015665616
blaNDM-1_3,0.0015665616
blaOKP,0.0015665616
msr,0.0015665616
kpnF,0.0015665616
leuO_1,0.0015665616
marA_4,0.0015665616
mcrB,0.0015665616
mdtA_1,0.0015665616
mdtE_4,0.0015665616
mdtH_1,0.0015665616
mdtN_1,0.0015665616
mefB,0.0015665616
mexB_1,0.0015665616
mgrB,0.0015665616
norM,0.0015665616
blaOXA,0.0015665616
omp36,0.0015665616
ompC_1,0.0015665616
ompC_2,0.0015665616
ompF_1,0.0015665616
ompK37,0.0015665616
ompN_4,0.0015665616
oprD_1,0.0015665616
oprD_2,0.0015665616
oxyR_2,0.0015665616
phoP_4,0.0015665616
pmrB,0.0015665616
ispC,0.0015665616
hph,0.0015665616
glpQ1,0.0015665616
fusA_3,0.0015665616
blaT-6,0.0015665616
blaTEM,0.0015665616
bleO,0.0015665616
cat_2,0.0015665616
citA_2,0.0015665616
cmlA,0.0015665616
cysB_1,0.0015665616
cysB_2,0.0015665616
dadB,0.0015665616
ddl_1,0.0015665616
ddl_2,0.0015665616
dfrA17,0.0015665616
dfrA_1,0.0015665616
dfrA_2,0.0015665616
dhfrIII,0.0015665616
emrB_4,0.0015665616
eptA_1,0.0015665616
eptA_2,0.0015665616
ere(A),0.0015665616
fabF_3,0.0015665616
fabF_4,0.0015665616
fabI_1,0.0015665616
fabI_2,0.0015665616
dfrA21,0.0015665616
