phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,4.290774e-12,0.04761905,5.490873e-12,0.04761905,0.04761905,0.04761905,1.30453825e-11,0.04761905,0.04761905,0.04761905,9.529217e-12,0.04761905,0.04761905,0.04761905,1.7234633e-10
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,2.1991413e-13,1.9046644e-14,0.045454547,0.045454547,0.045454547,1.9543076e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,1.735839e-13
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.486514e-20,1.844354e-18,4.7841412e-20,0.055555556,0.055555556,4.83112e-23,7.190125e-20,0.055555556,1.1674658e-24,0.055555556,8.8787887e-20,0.055555556,0.055555556,0.055555556,1.5164995e-18
Susceptible,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,1.7173254e-14,8.6174644e-16,1.0000749e-14,0.05263158,0.05263158,1.3363778e-15,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,8.111623e-15,6.400751e-14,1.4666499e-14
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,2.114976e-14,4.293011e-14,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,7.865403e-15,1.976918e-13,1.9068297e-14,0.05882353,0.05882353,1.0809938e-16,3.3205152e-14,0.05882353,0.05882353,0.05882353,3.113255e-14,0.05882353,0.05882353,0.05882353,2.1957578e-13
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,2.7882723e-16,1.2432035e-14,5.684832e-16,0.055555556,0.055555556,2.1224824e-18,1.1050845e-15,1.2574789e-14,0.055555556,0.055555556,1.1084684e-15,0.055555556,0.055555556,0.055555556,1.3997776e-14
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,3.1573037e-15,0.045454547,0.045454547,0.045454547,0.045454547,1.5554655e-16,0.045454547,0.045454547,0.045454547,2.823803e-16,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,4.566593e-15
Susceptible,0.07692308,1.05734024e-35,0.07692308,0.07692308,7.579284e-34,4.4393294e-33,5.7235513e-32,0.07692308,1.0416649e-31,0.07692308,0.07692308,5.63109e-35,3.265951e-31,4.352251e-34,8.3914316e-32,0.07692308,1.079147e-39,2.0813228e-33,0.07692308,0.07692308,0.07692308,2.3341207e-33,0.07692308,0.07692308,0.07692308,2.5260814e-31
Susceptible,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,1.3561802e-20,2.3508003e-19,9.241258e-21,0.083333336,6.8693796e-21,9.965958e-20,3.0340688e-21,4.6948905e-19,2.2036588e-20,1.8857819e-19,0.083333336,3.9089774e-23,2.1355579e-20,0.083333336,0.083333336,0.083333336,6.144301e-20,0.083333336,2.1196665e-20,0.083333336,1.6370277e-19
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.8679732e-20,2.253655e-18,5.962734e-20,0.055555556,0.055555556,6.33906e-23,8.876452e-20,0.055555556,1.5803738e-24,0.055555556,1.1037235e-19,0.055555556,0.055555556,0.055555556,1.8368695e-18
Susceptible,0.05,0.05,0.05,0.05,0.05,8.316639e-23,0.05,5.009681e-24,0.05,0.05,0.05,0.05,0.05,2.2865851e-23,0.05,0.05,0.05,1.9267836e-23,0.05,0.05,0.05,0.05,0.05,1.6077286e-22,0.05,5.815684e-22
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,6.504564e-20,6.620677e-18,2.2283075e-19,0.055555556,0.055555556,3.469706e-22,3.0656676e-19,0.055555556,1.616797e-23,0.055555556,3.982796e-19,0.055555556,0.055555556,0.055555556,4.5558784e-18
