,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
fbiC,0.19772152832270667,-0.03178548576896395,0.30849738861462067,0.21316608427994027,0.11002170210131793,-0.058617095171856516,0.13308859459158254,-0.059064830795832926,-0.027747769634339822,0.1599423832474689,1.0,-0.21669546169539997,-0.19978206874770865,-0.16892998527367156,-0.011775215267225957,0.22041985019218727,-0.2440412763800892,-0.15832374134912605,0.20110245056843923,-0.14920599341342738,0.18971674134662567,-0.2518909288509697,0.2268281612816978,0.04781654741302249,0.16067607007412812,-0.1359187038040903
fgd1,-0.4070948818014886,-0.215881015294064,-0.4613621440105466,-0.399326258670408,-0.21910095275195257,-0.08862155073376547,-0.17907518821596835,-0.08788665348813464,-0.259318223615782,-0.2588728396075861,-0.21669546169539994,1.0,0.36285515559277215,0.24448210349823182,-0.08132224410401574,-0.36038505762677553,0.33907086148034704,0.2940753047424561,-0.40413113718345106,-0.036001241115402816,-0.3893948124298477,0.8015709098817637,-0.32700636176788467,-0.34856664255437625,-0.3741302875510144,0.20811367641882
gid,-0.3170006197609499,-0.16354843796054144,-0.364099099646469,-0.3070198384795574,-0.15270267272413027,-0.04529499297299877,-0.1086406940127378,-0.13188553853591758,-0.22037112321025207,-0.21499596137789442,-0.19978206874770865,0.3628551555927722,1.0,0.03349188211355835,0.08538690097523279,-0.2550622545304885,0.3001637107697113,0.03838407226071081,-0.3135272025132247,-0.01038493052788404,-0.3328841861733218,0.3702377510644278,-0.26213317452273777,-0.3172318119684482,-0.13161484191612968,0.012752162894134694
gyrA,-0.3439208631255562,-0.22552726122256145,-0.3904059797771382,-0.3196669098971482,-0.2333254506111639,0.0013459309845641346,-0.18318131267170235,0.387055882003713,-0.2005989022745203,-0.22007066327019703,-0.16892998527367156,0.24448210349823185,0.03349188211355836,1.0,-0.09558790638596712,-0.3109764737052486,0.14401511561914132,0.762231250828969,-0.2838744737477757,-0.020123607078332717,-0.2981524546086566,0.20582982946103978,-0.2743958228784843,-0.08782390663375965,-0.21541565320567546,0.6435746594456986
gyrB,-0.118022555603485,0.08641564517849544,-0.10027751156405507,-0.08220200551923673,-0.11519916405416242,0.3373608045768642,0.07786194457721056,0.04211590050866804,0.07783969897606277,-0.1264240617918045,-0.011775215267225957,-0.08132224410401574,0.08538690097523279,-0.09558790638596712,1.0,-0.08988024176830976,-0.07368969771843228,-0.11612946190050694,-0.13301655387807176,-0.21280376383083557,-0.0829135048407883,-0.09726650763845048,-0.11876379381842403,0.09865339471528504,0.0362159565140418,-0.10757676237062261
inhA,0.541485141840897,0.11354773247265058,0.6938641745075113,0.465569803524441,0.22112324637233025,-0.17202756686831222,0.18323940290718682,-0.05469054552726889,0.10357167635067237,0.39050336095952015,0.22041985019218727,-0.36038505762677553,-0.2550622545304885,-0.3109764737052486,-0.08988024176830978,1.0,-0.3613158882701881,-0.32564793763664085,0.45416525861550844,-0.27183995232935226,0.50136945465381,-0.35112163611166186,0.4453906714998685,0.12134167684595823,0.3113882854471257,-0.28148329110149406
katG,-0.398383381233212,-0.2043976938157701,-0.4550412855499913,-0.38099537774297937,-0.21993773616123075,-0.03640766571876513,-0.1837191146319694,-0.14896676373903758,-0.2549710612194136,-0.2628895020183101,-0.2440412763800892,0.33907086148034704,0.3001637107697113,0.14401511561914135,-0.07368969771843228,-0.3613158882701881,1.0,0.08067446637937271,-0.3657191223203185,-0.029155070215691924,-0.39271984857799913,0.3138255319996394,-0.33391924652693317,-0.24811999958603714,-0.30233212668547277,0.015315236834861027
mmpL5,-0.35461778916527753,-0.2302689235892926,-0.4107355849401195,-0.32878881349033967,-0.2384084263908424,0.06769415956310945,-0.1822385343382762,0.1408225031679996,-0.09215892307779879,-0.21211142079686868,-0.15832374134912605,0.2940753047424561,0.03838407226071081,0.762231250828969,-0.11612946190050694,-0.32564793763664085,0.08067446637937271,0.9999999999999999,-0.27912825042336314,-0.04177391510993213,-0.31676334957224556,0.2077869528054355,-0.27318257968687365,-0.048323394696102535,-0.2176647565744506,0.8684398786231642
pepQ,0.5099865274016087,0.14227641581539327,0.5673961872073617,0.46423486233429173,0.23909818412791062,-0.15081764683074145,0.14669206245554864,0.010365428256787027,0.14806730286875458,0.30491553530901205,0.20110245056843923,-0.4041311371834511,-0.3135272025132247,-0.28387447374777575,-0.13301655387807176,0.45416525861550844,-0.3657191223203185,-0.27912825042336314,0.9999999999999999,-0.23428383880203513,0.43575058233892133,-0.38123357940817876,0.4238998370695489,0.16874525945269808,0.3190948497591234,-0.21758944249360906
pncA,-0.27742338703445524,-0.2377047777936694,-0.3177189864280505,-0.2571741264140071,-0.20089903546170065,-0.18451872583904105,-0.21567520440236349,-0.23731195889020973,-0.2559525787298864,-0.2091094782589824,-0.14920599341342738,-0.03600124111540281,-0.010384930527884039,-0.020123607078332717,-0.2128037638308356,-0.27183995232935226,-0.029155070215691928,-0.04177391510993212,-0.23428383880203513,1.0,-0.27028475792856277,-0.01739296338105992,-0.24738177339586803,-0.16831595414327413,-0.21101679657443592,-0.04134451080166076
rplC,0.5421096513258932,0.10368452186403185,0.584960667786538,0.4956498721728597,0.2723214742846613,-0.13666287535008123,0.25163179481103615,0.014157636746850366,0.10885853896364932,0.3956944986777617,0.18971674134662564,-0.38939481242984764,-0.3328841861733218,-0.2981524546086566,-0.0829135048407883,0.50136945465381,-0.39271984857799913,-0.31676334957224556,0.43575058233892133,-0.27028475792856277,1.0,-0.3508460372210178,0.4192059628182919,0.1049189919861826,0.40222000755981047,-0.26937231243402915
rpoB,-0.40133776809885674,-0.20773347516509907,-0.4495725925827241,-0.3838468950958277,-0.1747335761473514,-0.05739983714984136,-0.18365128789131452,-0.08559087724991717,-0.2327815126878333,-0.2373557325170789,-0.2518909288509697,0.8015709098817637,0.3702377510644278,0.20582982946103978,-0.09726650763845048,-0.35112163611166186,0.3138255319996394,0.20778695280543552,-0.3812335794081787,-0.01739296338105992,-0.3508460372210178,1.0,-0.32817580725846573,-0.34315976074044935,-0.37799693645594745,0.16099029694115963
rpsL,0.4889740533485967,0.10628955922242891,0.5495415640299279,0.46216247941822935,0.22701048754021638,-0.15925252787657534,0.15696876574916835,-0.035392551055351336,0.09029118598809364,0.29914522386044656,0.22682816128169783,-0.3270063617678847,-0.26213317452273777,-0.27439582287848435,-0.11876379381842403,0.4453906714998685,-0.33391924652693317,-0.27318257968687365,0.4238998370695489,-0.247381773395868,0.419205962818292,-0.32817580725846573,1.0,0.11696586884283755,0.2837545071351269,-0.2452939453779013
rrl,0.14672101644573254,0.1870202965768097,0.20118758596729108,0.13116290147083162,0.04351554829509234,0.021289837262473486,0.006409466791618254,0.12856434724056318,0.15090261169202657,0.09944880181316974,0.04781654741302249,-0.34856664255437625,-0.3172318119684482,-0.08782390663375966,0.09865339471528504,0.12134167684595823,-0.24811999958603714,-0.048323394696102535,0.1687452594526981,-0.1683159541432741,0.1049189919861826,-0.3431597607404493,0.11696586884283755,1.0,0.07254995333830543,-0.02730364351680721
rrs,0.35716143987563626,0.05354763059956705,0.4064204713538955,0.3555453247618031,0.20004618654461634,-0.14915702179648138,0.16164259986606094,-0.013544233115396225,0.07451698576325912,0.18787553945599958,0.16067607007412815,-0.3741302875510144,-0.1316148419161297,-0.21541565320567546,0.0362159565140418,0.31138828544712577,-0.3023321266854727,-0.21766475657445064,0.3190948497591234,-0.21101679657443592,0.40222000755981047,-0.3779969364559475,0.2837545071351269,0.07254995333830543,1.0,-0.19333221999969363
tlyA,-0.30658408617088473,-0.20634827442155132,-0.34874989242652865,-0.2845798810444039,-0.20557195403120257,0.0839226594137389,-0.16481935097732553,0.06462987206424539,-0.010182145144419855,-0.16326602419739442,-0.1359187038040903,0.20811367641882,0.012752162894134694,0.6435746594456986,-0.10757676237062262,-0.28148329110149406,0.015315236834861025,0.8684398786231643,-0.21758944249360906,-0.041344510801660767,-0.2693723124340291,0.16099029694115963,-0.2452939453779013,-0.02730364351680721,-0.19333221999969366,0.9999999999999998
